Title,Location,Description,Date,Contract Type
Responsable de Système d'Informatiq ... (Alger),"H'raoua, Alger, Algérie",Sarl Starouate recrute un Responsable de Système d'Informatique pour gérer le budget global du service ou secteur...,6 août 2024,CDD
Magasinier (Alger),"Alger, Algérie",Entreprise Publique recrute un Magasinier pour réceptionner les commandes de livraisons...,6 août 2024,indifférent
Agent Conditionnement (Alger),"Alger, Algérie",SPA BIOTECH-BIOCARE recrute des Agent Conditionnement pour exécution des travaux de conditionnement secondaire et leur acheminement vers les aires de stockage des produits finis...,6 août 2024,indifférent
Opérateur Pompe à Béton (Alger),"Alger, Algérie",Entreprise Publique recrute un Opérateur Pompe à Béton pour contrôler l’alimentation de la centrale en adjuvants...,6 août 2024,indifférent
Coffreur (Alger),"Alger, Algérie",Entreprise Publique recrute un Coffreur pour installer et ajuster les coffrages de toute nature sur le projet...,6 août 2024,indifférent
Responsable Key Account B2B (Alger),"Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Responsable Key Account B2B pour faire des remontées terrains...,6 août 2024,CDI
Ferrailleur (Alger),"Alger, Algérie",Entreprise Publique recrute un Ferrailleur pour façonner les armatures...,6 août 2024,indifférent
Marchandiseur (Nord/Sud),"Sétif, Algérie",SARL BIOLUX recrute un Marchandiseur pour la gestion et optimisation des présentations en magasin...,6 août 2024,CDD
Marchandiseur (Sétif),"El Eulma, Sétif, Algérie",SARL BIOLUX recrute un Marchandiseur pour la gestion et optimisation des présentations en magasin...,6 août 2024,CDD
Marchandiseur (Tizi Ouzou / Bouira),"Tizi Ouzou, Algérie",SARL BIOLUX recrute un Marchandiseur pour la gestion et optimisation des présentations en magasin...,6 août 2024,CDD
Marchandiseur (Nord Est),"Annaba, Algérie",SARL BIOLUX recrute un Marchandiseur pour,6 août 2024,CDD
Marchandiseur (Boumerdes),"Boumerdes, Algérie",SARL BIOLUX recrute un Marchandiseur pour mettre en place des actions merchandising...,6 août 2024,CDD
Marchandiseur (Mostaganem),"Mostaganem, Algérie",SARL BIOLUX recrute un Marchandiseur pour faire des relevés d’information...,6 août 2024,CDD
Marchandiseur (Oran),"Oran, Algérie",SARL BIOLUX recrute un Marchandiseur pour faire des relevés d’information...,6 août 2024,CDD
Chauffeur (Alger),"Zeralda, Alger, Algérie",SARL VECOPHARM recrute un Chauffeur pour fournir un excellent service client lors de chaque trajet...,6 août 2024,indifférent
Manœuvre Journalier (Blida),"Beni Tamou, Blida, Algérie",Vitroplant Algérie recrute un Manœuvre Journalier pour veiller à appliquer les règles de sécurité et les procédures de qualité en vigueur...,5 août 2024,indifférent
Ouvrier de Fabrication Mélamine et ... (Boumerdes),"Boumerdes, Algérie",DIKEA recrute un Ouvrier de Fabrication Mélamine et Bois pour réaliser les plans de fabrication et d'installation...,5 août 2024,indifférent
Coordinateur de Sécurité (Alger),"Oued Smar, Alger, Algérie",SAIDAL GROUPE recrute un Coordinateur de Sécurité pour la veille technologique et réglementaire...,5 août 2024,indifférent
Chef de Groupe Sécurité (Alger),"Oued Smar, Alger, Algérie",SAIDAL GROUPE recrute un Chef de Groupe Sécurité pour s’assurer du bon état des installations de sécurité...,5 août 2024,indifférent
Agent de Sécurité (Alger),"Oued Smar, Alger, Algérie",SAIDAL GROUPE recrute un Agent de Sécurité pour assister et surveille les travaux dangereux...,5 août 2024,indifférent
Technicien Grand Format (Alger),"Alger, Algérie",PROTECO recrute un Technicien Grand Format pour former les utilisateurs à l'utilisation et à l'entretien des équipements grand format...,5 août 2024,indifférent
Responsable des Ressources Humaines ... (Alger),"Alger-Centre, Alger, Algérie",Société Privée recrute un Responsable des Ressources Humaines pour assurer le respect de la loi en vigueur...,5 août 2024,CDI
Soudeur (Alger),"Birkhadem, Alger, Algérie",Société Privée recrute un Soudeur pour réaliser les soudures...,5 août 2024,CDD
Chargé de Service Clientèle (Blida),"Blida, Blida, Algérie",SARL SOPI recrute un(e) Chargé(e) de Service Clientèle pour répondre à leurs besoins...,5 août 2024,CDD
Responsable Mécanique Parc Roulant (Alger),"Alger, Algérie",SERO recrute un Responsable Mécanique Parc Roulant pour assurer le respect des normes de sécurité et de réglementation...,5 août 2024,indifférent
Responsable Maintenance Parc Roulan ... (Alger),"Alger, Algérie",SERO recrute un Responsable Maintenance Parc Roulant pour encadrer et former le personnel de maintenance...,5 août 2024,indifférent
Assistante Ressources Humaines (Alger),"Alger, Algérie",EMPLOI PARTNER recrute une Assistante Ressources Humaines pour assister dans la gestion de la paie et des avantages sociaux...,5 août 2024,indifférent
Chef de Département des Marchés (Alger),"Alger, Algérie",Importante Banque Nationale recrute un Chef de Département des Marchés pour réaliser des études et des synthèses en matière de passion des marchés...,5 août 2024,indifférent
Technical Writer (Alger),"Rahmania, Alger, Algérie","SARL NETFER SMART SOLUTIONS recrute un Technical Writer pour organiser et planifier les projets de documentation, respecter les délais, et assurer la qualité des livrables...",4 août 2024,CDD
Responsable Export (Alger),"Alger-Centre, Alger, Algérie",Talent Connected recrute un Responsable Export pour,4 août 2024,CDI
Ingénieur Principal en Instrumentat ... (Alger),"Alger, Algérie",Huntead recrute pour son client ELKINDI Engineering un Ingénieur Principal en Instrumentation pour la coordination avec les autres services et intervenant...,4 août 2024,CDD
Responsable Administration (Alger),"Kouba, Alger, Algérie",HUNTEAD recrute un Responsable Administration pour gérer les ressources humaines et les finances...,4 août 2024,indifférent
Social Média Manager (Alger),"Dely Ibrahim, Alger, Algérie",Société Privée recrute un Social Média Manager pour la veille concurrentielle ; benchmarking et analyse du marché...,4 août 2024,Temps plein
Manœuvre (Alger),"El Harrach, Alger, Algérie",Entreprise Publique recrute un Manœuvre pour participer aux compagnes de nettoyage...,4 août 2024,indifférent
Technicien Topographe (Bouira),"El Asnam, Bouira, Algérie",Entreprise Publique recrute un Technicien Topographe pour établir les mesures de série...,4 août 2024,indifférent
Agent de Sécurité (Alger),"Alger, Algérie",Entreprise Privée recrute un Agent de Sécurité pour assurer la surveillance du site...,4 août 2024,indifférent
Superviseur HSE (Alger),"Alger, Algérie",BIOCARE BIOTECH recrute un Superviseur HSE pour réduire et contrôler les risques professionnels...,4 août 2024,CDI
Directeur de Projet (Alger),"Alger, Algérie",Entreprise Publique recrute un Directeur de Projet pour établir les rapports d’Activités...,4 août 2024,indifférent
Commercial (Immobilier) (Alger),"Alger, Algérie",MY EMPRUNT recrute un Commercial pour mettre en œuvre un plan d’action commercial...,4 août 2024,CDD
Commercial (Immobilier) (Oran),"Oran, Algérie",MY EMPRUNT recrute un Commercial pour mettre en œuvre un plan d’action commercial...,4 août 2024,CDD
Responsable Achats et Approvisionne ... (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Responsable achats et approvisionnement pour préparer les commandes de produits sortants...,4 août 2024,CDD
Aide Magasinier (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un aide Magasinier pour le groupage des produits destines a une commande...,4 août 2024,CDD
Responsable des Systèmes d'Informat ... (Alger),"Alger, Algérie","SARL OUI CHEF recrute un Administrateur Systèmes Informatique pour installer et mettre à niveau les composants informatiques et les logiciels, gérer les serveurs virtuels et intégrer les processus d'automatisation...",4 août 2024,indifférent
Operations Lead (West Africa),"Alger, Algérie",Huntead recrute un Operations Lead (West Africa) ...,1 août 2024,indifférent
Responsable de la Sécurité des Syst ... (Alger),"Alger, Algérie",Huntead recrute un Responsable de la Sécurité des Système d'Information (RSSI) pour élaborer et mettre à jour la politique de sécurité des systèmes d'information...,1 août 2024,indifférent
Responsable de la Sécurité des Syst ... (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute un Responsable de la Sécurité des Système d'Information (RSSI) POUR concevoir et actualiser la politique de sécurité des systèmes d'information.;;,1 août 2024,indifférent
Support Maintenance Engineer (Alger),"Alger, Algérie",Huntead recrute un Support Maintenance Engineer...,1 août 2024,indifférent
IT Support Specialist (Alger),"Alger, Algérie",Huntead recrute un IT Support Specialist...,1 août 2024,indifférent
Responsable de la Sécurité des Syst ... (Alger),"Alger, Algérie",Entreprise Privée recrute un Responsable de la Sécurité des Système d'Information (RSSI) pour élaborer et mettre à jour la politique de sécurité des systèmes d'information...,1 août 2024,indifférent
Directeur National des Ventes (Oran),"Oran, Algérie",AMB international recrute un Directeur National des Ventes pour définir et mettre en œuvre la stratégie de vente nationale en accord avec les objectifs de l’entreprise...,1 août 2024,indifférent
Community Manager (Oran),"Oran, Algérie",AMB international recrute un Community Manager pour surveiller les activités des concurrents et les tendances du secteur...,1 août 2024,indifférent
Délégué Médico-Commercial (Sétif),"Sétif, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Mostaganem),"Mostaganem, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Annaba),"Annaba, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Constantine),"Constantine, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Oran),"Oran, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Boumerdes),"Boumerdes, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Blida),"Blida, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Délégué Médico-Commercial (Alger),"Alger, Algérie",AMB international recrute un Délégué Médico-Commercial pour analyser le marché et les tendances...,1 août 2024,indifférent
Informaticien Help Desk (Alger),"Alger, Algérie",SPA BIOCARE-BIOTECH recrute un Informaticien Help Desk pour assister les utilisateurs...,1 août 2024,CDD
Databases Senior Engineer (Alger),"Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Databases Senior Engineer pour surveiller continuellement et optimiser les performances des bases de données et des clusters Big Data...,1 août 2024,CDI
Chargé de Fonction Administrative E ... (Alger),"Cheraga, Alger, Algérie","Importante Banque privée recrute un Chargé de Fonction Administrative pour accueillir, orienter et informer les clients et les non clients pénétrant dans l’agence…",1 août 2024,CDI
Technicien Service Desk (Alger),"Bab Ezzouar, Alger, Algérie",SPA BNP Paribas El Djazair recrute un Technicien Service Desk pour fournir le premier niveau d’assistance aux utilisateurs...,1 août 2024,indifférent
Hardware Asset Manager (Alger),"Alger, Algérie",Importante Banque recrute un Hardware Asset Manager pour la négociation des contrats et gestion des commandes...,1 août 2024,indifférent
Technicien Automaticien de Maintena ... (Alger),"Alger, Algérie",DJAZAIR PORT WORLD recrute un Technicien Automaticien de Maintenance pour surveiller le fonctionnement des systèmes automatisés...,1 août 2024,CDD
Architecte (Oran),"Oran, Algérie",BELUX ECLAIRAGE recrute un Architecte pour la conception architecturale...,1 août 2024,indifférent
Agent Commercial Chargé de Prospect ... (Oran),"Oran, Algérie",BELUX ECLAIRAGE recrute un Agent Commercial - Chargé de Prospection Marché International (Afrique) pour recherche des plans de charges dans une zone géographique déterminée...,1 août 2024,CDD
Responsable Sûreté Interne d'Entrep ... (Alger),"Alger, Algérie",SPA DIVINDUS CAPREF recrute un Responsable Sûreté Interne d'Entreprise pour assurer la sécurité des équipements...,1 août 2024,CDD
Femme de Chambre (Alger),"Alger, Algérie",Hôtel Hydra recrute une Femme de Chambre pour assurer la propreté des salles de bains et des équipements dans les chambres...,1 août 2024,indifférent
Agent d'Entretien (Alger),"Alger, Algérie",Hôtel Hydra recrute un Agent d'Entretien pour utiliser les produits de nettoyage de manière sûre et efficace...,1 août 2024,indifférent
Maître d'Hôtel (Alger),"Ouled Fayet, Alger, Algérie",Hôtel Hydra Ouled Fayet recrute un Maître d'Hôtel pour la gestion des stocks du matériel de restaurant...,1 août 2024,CDI
Commercial (H/F) (Alger),"Ouled Fayet, Alger, Algérie",Hôtel Hydra recrute un(e) Commercial(e) pour la relation Clientèle...,1 août 2024,CDI
Directeur Marketing et Vente (Alger),"Zeralda, Alger, Algérie",Importante Société Pharmaceutique Privée recrute un Directeur Marketing et Vente pour analyser le porte feuille produit et les principaux marchés...,1 août 2024,CDD
Comptable Gestionnaire Administrati ... (Boumerdes),"Boumerdes, Algérie","RB Global recrute un Comptable Gestionnaire Administratif pour veiller au respect des obligations fiscales et légales, et préparer les déclarations fiscales et sociales...",31 juil. 2024,indifférent
Directeur Technique (Alger),"Alger, Algérie",Société Privée recrute un Directeur Technique pour diriger et développer les équipes techniques...,31 juil. 2024,indifférent
Infographe (Alger),"Dar El Beïda, Alger, Algérie",SARL BIOLUX recrute un Infographe pour,31 juil. 2024,CDD
Femme de Ménage (Alger),"Birkhadem, Alger, Algérie",Entreprise Privée recrute un Femme de Ménage pour respecter toutes les règles d'hygiène et sécurité...,31 juil. 2024,CDD
Juriste Senior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Juriste Senior pour rédiger, réviser et négocier des contrats, des accords complexes et d’autres documents juridiques importants...",31 juil. 2024,indifférent
Juriste Junior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un(e) Juriste Junior pour rédiger, réviser et négocier des contrats, des accords et autres documents juridiques...",31 juil. 2024,indifférent
Graphiste Senior (Alger),"Alger, Algérie",SARL GREAT WAY recrute un Graphiste Senior pour explorer de nouvelles tendances et techniques en design graphique pour proposer des idées originales et pertinentes...,31 juil. 2024,indifférent
Graphiste Junior (Alger),"Alger, Algérie",SARL GREAT WAY recrute un Graphiste Junior pour collaborer avec l'équipe de design pour développer des concepts créatifs selon les directives et les besoins des projets...,31 juil. 2024,indifférent
Marketing Manager Magasin Senior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Marketing Manager Magasin Senior pour gérer le budget marketing local, surveiller les dépenses et assurer une utilisation efficace des ressources...",31 juil. 2024,indifférent
Agent Polyvalent en Mécanique (Alger),"El Marsa, Alger, Algérie",Cosider Canalisation recrute un Agent Polyvalent en Mécanique pour tenir à jour les dossiers techniques et les rapports de maintenance...,31 juil. 2024,indifférent
Marketing Manager Magasin Junior (Alger),"Alger, Algérie",SARL GREAT WAY recrute un Marketing Manager Magasin Junior pour organiser et coordonner des événements en magasin pour promouvoir les produits et attirer les clients...,31 juil. 2024,indifférent
Marketing Digital Manager Senior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Marketing Digital Manager Senior pour gérer le budget marketing digital, optimiser les dépenses et assurer une allocation efficace des ressources...",31 juil. 2024,indifférent
Marketing Digital Manager Junior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Marketing Digital Manager Junior pour utiliser et gérer les outils de gestion de campagnes, d'automatisation du marketing et de CRM...",31 juil. 2024,indifférent
Web Manager Senior (Alger),"Alger, Algérie",SARL GREAT WAY recrute un Web Manager Senior pour superviser la création et la mise en œuvre de contenus pertinents et engageants pour les sites web...,31 juil. 2024,indifférent
Web Manager Junior (Alger),"Alger, Algérie",SARL GREAT WAY recrute un Web Manager Junior pour collaborer avec les équipes internes pour la création et la mise en œuvre de campagnes digitales et de projets web...,31 juil. 2024,indifférent
Community Manager Senior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Community Manager Senior pour engager et développer la communauté en ligne, gérer les interactions et modérer les discussions...",31 juil. 2024,indifférent
Community Manager Junior (Alger),"Alger, Algérie","SARL GREAT WAY recrute un Community Manager Junior pour surveiller les tendances, les discussions et les concurrents sur les réseaux sociaux...",31 juil. 2024,indifférent
Chargé(e) Commercial (Alger),"Alger, Algérie",Société Privée recrute un(e) Chargé(e) Commercial pour le suivi des livraisons entre transitaires et le client...,31 juil. 2024,indifférent
Technicien Supérieur en Travaux Pub ... (Alger),"Alger, Algérie",CTTP recrute un Technicien Supérieur en Travaux Publiques pour surveiller l’activité du réseau...,31 juil. 2024,CDD
Assistante de Direction (Alger),"Alger, Algérie","IMMAR DZ recrute une Secrétaire de Direction pour rédiger, corriger, et archiver des documents administratifs...",31 juil. 2024,indifférent
Stagiaire Commerciale (Alger),"Alger, Algérie",INTERIMEO recrute un(e) Stagiaire Commerciale pour l'élaboration d'offres commerciales...,31 juil. 2024,Stage
Plombier (Boumerdes),"Boumerdes, Algérie","SARL ORKAS recrute un Plombier pour détecter et réparer les fuites, obstructions et autres problèmes de plomberie...",31 juil. 2024,indifférent
Concepteur de Façades (Boumerdes),"Boumerdes, Algérie","SARL ORKAS recrute un Concepteur de Façades pour préparer les dossiers techniques, les spécifications et les rapports pour les projets de façades...",31 juil. 2024,indifférent
Opérateur sur Machine (Boumerdes),"Boumerdes, Algérie",SARL ORKAS recrute un Opérateur sur Machine pour remplir les rapports de production et enregistrer les incidents ou anomalies...,31 juil. 2024,indifférent
Infographe (Boumerdes),"Boumerdes, Algérie",SARL ORKAS recrute un Infographe pour transformer des données complexes en visuels clairs et compréhensibles...,31 juil. 2024,indifférent
Aide Cuisinier (Boumerdes),"Boumerdes, Algérie",SARL ORKAS recrute un Aide Cuisinier pour veiller à l’application des normes d'hygiène et de sécurité alimentaire...,31 juil. 2024,indifférent
Agent HSE (Alger),"Alger, Algérie",SPA BIOCARE-BIOTECH recrute un Agent HSE pour intervenir en cas d’urgence ou besoin...,31 juil. 2024,CDD
Agent de Télésurveillance (Alger),"Alger, Algérie",SPA BIOCARE-BIOTECH recrute un Agent de Télésurveillance pour enquêter sur les incidents survenus...,31 juil. 2024,CDD
Conducteur de Travaux (Sétif),"Sétif, Algérie",Biaxial Films Packaging recrute un Conducteur de Travaux pour élaborer et suivre le planning des travaux...,31 juil. 2024,indifférent
Chef de Chantier (Sétif),"Sétif, Algérie",Biaxial Films Packaging recrute un Chef de Chantier pour planifier et organiser les activités de chantier...,31 juil. 2024,indifférent
Chef d'Equipe (Sétif),"Sétif, Algérie",Biaxial Films Packaging recrute un Chef d'Equipe pour résoudre les problèmes internes...,31 juil. 2024,indifférent
Responsable de la Direction Créativ ... (Alger),"Dar El Beïda, Alger, Algérie",SARL BIOLUX recrute un Responsable de la Direction Créative pour intégrer les meilleures pratiques et techniques créatives pour enrichir les projets...,30 juil. 2024,CDI
Manutentionnaire (Alger),"Hussein Dey, Alger, Algérie","SARL BIOLUX recrute un Manutentionnaire pour déplacer, porter et emballer les produits...",30 juil. 2024,CDD
Infirmier (Alger),"Alger, Algérie",Société Privée recrute un Infirmier pour assurer une surveillance constante et être à l'écoute du patient...,30 juil. 2024,indifférent
Technicien Electricien (Oran),"Tafraoui, Oran, Algérie",Société Privée recrute un Technicien Electricien pour effectuer les réglages nécessaires pour optimiser les performances des systèmes électriques...,30 juil. 2024,CDD
Technicien HVAC (Oran),"Tafraoui, Oran, Algérie","Société Privée recrute un Technicien HVAC pour effectuer les raccordements électriques, hydrauliques et de ventilation nécessaires...",30 juil. 2024,CDD
Plombier (Oran),"Tafraoui, Oran, Algérie",Société Privée recrute un Plombier pour régler les appareils et la robinetterie...,30 juil. 2024,CDD
