Title,Location,Description,Date,Contract Type
Technicien Electricité (Alger),"Alger, Algérie",Hyatt Regency recrute un Technicien Electricité pour réparer et remplacer les éléments défectueux...,20 août 2024,CDI
Technico-Commerciale (Alger),"Alger, Algérie",RuePC recrute un(e) Technico-Commerciale pour assurer le suivi des ventes et la gestion de la relation clientèle après-vente...,20 août 2024,CDI
Architecte (Alger),"Alger, Algérie",Société Etatique recrute une Architecte pour la conception architecturale...,20 août 2024,CDI
Délégué Commercial Extérieur (Alger),"Alger, Algérie","Importante Banque recrute un Délégué Commercial Extérieur pour assurer le suivi des clients, veiller à leur satisfaction et résoudre les éventuels problèmes...",19 août 2024,indifférent
Responsable Marketing (Alger),"Alger, Algérie",Entreprise Privée recrute un Responsable Marketing pour développer les actions commerciales...,19 août 2024,indifférent
Chargé de la Maintenance (Alger),"Alger, Algérie",Importante Banque recrute un Chargé de la Maintenance pour assurer la maintenance préventive et corrective des équipements...,19 août 2024,indifférent
Chargée de Mission (Blida),"Mouzaia, Blida, Algérie",EMPLOI PARTNER recrute une chargée de mission pour assurer le classement et l’archivage des documents et dossiers importants...,19 août 2024,CDD
Directeur Administration & Finances ... (Blida),"Mouzaia, Blida, Algérie",EMPLOI PARTNER recrute un Directeur Administration & Finances pour veiller à la conformité avec les réglementations légales et fiscales...,19 août 2024,CDI
Gestionnaire des Ressources Humaine ... (Blida),"Mouzaia, Blida, Algérie",EMPLOI PARTNER recrute un Gestionnaire des Ressources Humaines Senior pour mettre en place des systèmes d’évaluation de la performance...,19 août 2024,CDD
Gestionnaire des Ressources Humaine ... (Blida),"Mouzaia, Blida, Algérie",Huntead recrute un Gestionnaire des Ressources Humaines Senior pour suivre et analyser les indicateurs clés des ressources humaines...,19 août 2024,CDD
Directeur Administration & Finances ... (Blida),"Mouzaia, Blida, Algérie",Huntead recrute un Directeur Administration & Finances pour élaborer et mettre en œuvre la stratégie financière de l’entreprise...,19 août 2024,CDI
Chargée de Mission (Blida),"Mouzaia, Blida, Algérie",Huntead recrute une Chargée de Mission pour assurer le classement et l’archivage des documents et dossiers importants...,19 août 2024,CDD
Femme de Ménage (Alger),"Alger, Algérie",Agence Nationale des Ressources Hydrauliques (ANRH) recrute une Femme de Ménage pour la désinfection des surfaces...,19 août 2024,CDI
Architecte (Bouira),"Bouira, Algérie",FENIX recrute un architecte pour assurer la conformité réglementaire et des permis...,19 août 2024,indifférent
Gestionnaire des Ressources Humaine ... (Blida),"Mouzaia, Blida, Algérie",Société Agroalimentaire recrute un Gestionnaire des Ressources Humaines Senior pour élaborer et mettre en œuvre la stratégie RH alignée sur les objectifs de l’entreprise...,19 août 2024,CDD
Directeur Administration & Finances ... (Blida),"Mouzaia, Blida, Algérie",Société Agroalimentaire recrute un Directeur Administration & Finances pour élaborer et mettre en œuvre la stratégie financière de l’entreprise...,19 août 2024,CDI
Assistante Planification (Alger),"Kouba, Alger, Algérie",Société Privée recrute une Assistante Planification pour proposer des améliorations de processus...,19 août 2024,CDD
Chargée de Mission (Blida),"Mouzaia, Blida, Algérie","Société Agroalimentaire recrute une Chargée de mission pour organiser et gérer les rendez-vous, réunions, déplacements et engagements de la direction....",19 août 2024,CDD
Graphiste Designer (Alger),"Alger-Centre, Alger, Algérie",Société Privée recrute un Graphiste Designer pour réaliser des retouches et des montages photo de haute qualité...,19 août 2024,CDD
Pharmacien Directeur Technique (H/F ... (Blida),"Ouled Yaïch, Blida, Algérie",Société de Production Pharmaceutique recrute un Pharmacien Directeur Technique pour s’occuper de l’arrangement des dossiers techniques…,19 août 2024,CDI
Office Manager (Alger),"Alger, Algérie",Montessori Algérie recrute un Office Manager pour le suivi des salaires et du pointage...,19 août 2024,indifférent
Éducatrice (Alger),"Alger, Algérie","Montessori Algérie recrute un Educatrice pour favoriser une communication efficace avec les parents, les collègues et les enfants...",19 août 2024,indifférent
Chef de Service Avis Etudes Juridiq ... (Alger),"Alger, Algérie",SPA AL SALAM BANK ALGERIA recrute un Chef de Service Avis Etudes Juridiques pour veiller à la conformité des projets de textes réglementaires avec la législation et la réglementation en vigueur...,19 août 2024,CDI
Gestionnaire RH (Oran),"Oued Tlelat, Oran, Algérie","Société des Nouvelles Brasseries - SNB - recrute un Gestionnaire RH pour le suivi des évolutions légales, proposition d'ajustements...",19 août 2024,CDI
Chef d'Equipe Contrôle Physicochimi ... (Oran),"Oued Tlelat, Oran, Algérie",Société des nouvelles brasseries - SNB - recrute un Chef d'Equipe Contrôle Physicochimique pour réaliser les analyses et assister ses subordonnées en cas de nécessité...,19 août 2024,CDI
Responsable Moyens Généraux (Alger),"Birtouta, Alger, Algérie",SARL OUI CHEF recrute un Responsable moyens généraux pour mettre en place les outils de suivie et reporting RH...,19 août 2024,CDD
Traductrice (Alger),"Baraki, Alger, Algérie",Société Privée recrute une Traductrice pour respecter les délais et les exigences des projets...,19 août 2024,CDD
Agent HSE (Oran),"Oued Tlelat, Oran, Algérie","Société des nouvelles brasseries - SNB - recrute pour un Agent HSE pour veiller au respect des règles d’hygiène et de sécurité sur le terrain, par le personnel et les sous-traitants...",19 août 2024,CDI
Inspecteur Qualité (Oran),"Oued Tlelat, Oran, Algérie",Société des nouvelles brasseries - SNB - recrute des Inspecteurs Qualité pour veiller au maintien de la qualité des produits (normes et présentation)...,19 août 2024,CDD
Réceptionniste Atelier (Alger),"Kouba, Alger, Algérie",Société Privée recrute une Réceptionniste Atelier pour prendre et gérer les rendez-vous pour les interventions techniques...,19 août 2024,CDD
Technical Coating Advisor (Alger),"Alger, Algérie",Technover P Spa recrute un Technical Coating Advisor...,19 août 2024,indifférent
Chargé de Recouvrement (Alger),"Kouba, Alger, Algérie",SARL SADID recrute un Chargé de Recouvrement pour le recouvrement des créances...,18 août 2024,CDI
Assistante de Recrutement (Alger),"Alger, Algérie",EMPLOI PARTNER recrute une Assistante de Recrutement pour trier les CV et présélectionner les candidats…,18 août 2024,indifférent
Chargé de Recrutement (Alger),"Alger, Algérie",EMPLOI PARTNER recrute un Chargé de Recrutement pour faciliter l'intégration et la rétention des nouveaux employés...,18 août 2024,indifférent
Chargé de Clientèle Commercial (Alger),"Alger, Algérie","The7Soul recrute un(e) Chargé(e) de Clientèle Commercial(e) pour préparer et suivre les devis, les commandes et les contrats...",18 août 2024,indifférent
Opératrice sur Machine (Tlemcen),"Tlemcen, Algérie",SARL PROMEDAL recrute une Opératrice sur Machine pour l'entretien préventif et correctif des équipements...,18 août 2024,indifférent
Responsable Maintenance Industriell ... (Alger),"Rouïba, Alger, Algérie",Société de Production Pharmaceutique recrute un Responsable Maintenance Industrielle pour valider les spécifications de maintenabilité des équipements...,18 août 2024,CDD
Responsable de Production (Alger),"Khraicia, Alger, Algérie",NutriPower Algérie recrute un Responsable de Production pour veiller à l’entretien et à la maintenance des équipements de production...,18 août 2024,CDD
Responsable Informatique (Alger),"Hydra, Alger, Algérie",Société de Production Pharmaceutique recrute un Responsable Informatique IT Manager pour assurer le reporting informatique auprès de la direction...,18 août 2024,CDD
Infographiste (Batna),"Ouled Fadel, Batna, Algérie",GRAND CERAM recrute un Infographiste pour la retouche et optimisation d’images...,18 août 2024,indifférent
Directeur Corporate (Alger),"Bab Ezzouar, Alger, Algérie",Importante Banque Nationale recrute un Directeur Corporate pour le management d'une équipe de chargés d'affaires corporate...,18 août 2024,CDI
Assistant Ressources Humaines (H) (Alger),"Dar El Beïda, Alger, Algérie",SARL BIOLUX recrute un Assistant Ressources Humaines pour assurer le suivi de pointage du personnel...,18 août 2024,CDD
Planificateur de la Production (Alger),"Aïn Benian, Alger, Algérie",EURL LA BERGERE recrute un Planificateur de la Production pour,18 août 2024,CDD
Social Media Manager (Alger),"Gué de Constantine, Alger, Algérie",OxyMuse recrute un Social Media Manager pour élaborer et mettre en œuvre les stratégies Social Media...,15 août 2024,CDI
Magasinier (Annaba),"Annaba, Algérie",SARL BIOLUX recrute un Magasinier pour préparer et assurer les livraisons...,15 août 2024,CDD
Medical Advisor (Projet d’Oncologie ... (Alger),"Rahmania, Alger, Algérie",HUNTEAD recrute un Medical Advisor (Projet d’Oncologie) pour former les équipes internes sur les aspects médicaux des produits...,15 août 2024,CDI
Responsable Conditionnement et Expl ... (Boumerdes),"Boumerdes, Algérie",Huntead recrute un Responsable Conditionnement et Exploitation pour superviser le contrôle qualité des produits conditionnés...,15 août 2024,indifférent
Ingénieur Environnement (Alger),"Alger, Algérie","Huntead recrute un Ingénieur Environnement pour préparer les missions en amant (logistique, équipements)...",15 août 2024,CDD
Directeur Finance et Comptabilité (Alger),"Alger, Algérie","Huntead recrute un Directeur Finance et Comptabilité pour superviser et de gérer les aspects financiers. Planification financière, analyse et prise de décision.//",15 août 2024,indifférent
Coursier (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute un Coursier pour assurer la sécurité des chèques durant le transport et la collecte...,15 août 2024,indifférent
Commercial B to B (Alger),"Staoueli, Alger, Algérie",Société Privée Agroalimentaire recrute un Commercial B to B pour l'enrichissement du portefeuille clients...,15 août 2024,CDD
Conseiller de Vente (Alger),"Cheraga, Alger, Algérie",Basics Cosmetics recrute un(e) Conseiller(ère) de Vente pour gérer les réassorts...,15 août 2024,indifférent
Steward (Alger),"Alger, Algérie",Hyatt Regency recrute un Steward pour,15 août 2024,indifférent
Adjoint Chef de Quart de Production ... (Blida),"Guerouaou, Blida, Algérie",SARL SOPI recrute un Adjoint Chef de Quart de Production pour renseigner les supports de production avec les données du quart...,15 août 2024,CDD
Superviseur Commercial (Blida),"Guerouaou, Blida, Algérie",SARL SOPI recrute un Superviseur Commercial pour suivre les performances...,15 août 2024,CDD
Sales Supervisor (Alger),"Alger, Algérie",Transsion Algeria recrute un Sales Supervisor...,15 août 2024,indifférent
Digital Marketing Specialist (Alger),"Alger, Algérie",Transsion Algeria recrute un Digital Marketing Specialist pour le développement de contenu captivant et pertinent pour diverses plates-formes numériques...,15 août 2024,indifférent
Opérateur Télésurveillance (Alger),"Alger, Algérie",Hyatt Regency recrute un Opérateur Télésurveillance pour informer la direction de tout incident ou activité inhabituelle...,15 août 2024,indifférent
Ingénieur SAV (Oran),"Oran, Algérie",SARL OPTIQUE DISTRIBUTION ALGERIE recrute un Ingénieur SAV pour proposer des solutions pour optimiser l’utilisation des équipements...,15 août 2024,indifférent
Stagiaire Recouvrement (Alger),"Alger, Algérie","EMPLOI PARTNER recrute un Stagiaire Recouvrement pour assurer le suivi journalier de la facturation, leurs acheminements aux clients ainsi que leurs archivages...",15 août 2024,Stage
Ingénieur SAV (Alger),"Alger, Algérie",SARL OPTIQUE DISTRIBUTION ALGERIE recrute un Ingénieur SAV pour proposer des solutions pour optimiser l’utilisation des équipements...,15 août 2024,indifférent
Délégué Chirurgie (Oran),"Oran, Algérie",SARL OPTIQUE DISTRIBUTION ALGERIE recrute un Délégué Chirurgie pour gérer efficacement le territoire assigné...,15 août 2024,indifférent
Délégué Chirurgie (Alger),"Alger, Algérie",SARL OPTIQUE DISTRIBUTION ALGERIE recrute un Délégué Chirurgie pour gérer efficacement le territoire assigné...,15 août 2024,indifférent
Commis de Cuisine (Alger),"Alger, Algérie",Hyatt Regency recrute un Commis de Cuisine pour doser et mélanger les produits et ingrédients culinaires...,15 août 2024,CDI
Technico-Commercial (Constantine),"Constantine, Algérie",GRANITEX recrute un Technico-Commercial pour le suivi technique...,15 août 2024,CDI
Responsable Regional des Ventes (Est),"Aïn Benian, Alger, Algérie","EURL LA BERGERE recrute un Responsable Régional des Ventes pour encadrer, former et motiver les équipes de vente pour atteindre les objectifs fixés...",15 août 2024,CDD
Démarcheur (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute un Démarcheur pour assurer la sécurité des chèques durant le transport et la collecte...,15 août 2024,indifférent
Ingénieur en Injection Machine (Tizi Ouzou),"Tizi Ouzou, Algérie",DHM COSMÉTIQUE - NELYA COSMETICS recrute un Ingénieur en Injection Machine pour concevoir et améliorer les procédés d'injection des machines...,14 août 2024,indifférent
Commercial (Tizi Ouzou),"Tizi Ouzou, Algérie",DHM COSMÉTIQUE - NELYA COSMETICS recrute un Commercial pour identifier et développer de nouveaux clients...,14 août 2024,indifférent
Commercial et Marketing (Centre/ Est/ Ouest),"Alger, Algérie",EURL LA BERGERE recrute un Commercial et Marketing pour développer les ventes...,14 août 2024,CDD
Comptable (Alger),"El Achour, Alger, Algérie",Société Privée recrute un Comptable senior pour vérifier les imputations comptables...,14 août 2024,CDI
Coordinateur Technique (Alger),"Alger, Algérie",Société Privée recrute un Coordinateur Technique pour surveiller les problèmes du service et les plaintes des clients...,14 août 2024,CDI
Assistante (Alger),"Alger, Algérie",Entreprise Privée recrute une Assistante pour la planification des rendez-vous et des déplacements...,14 août 2024,indifférent
Cadre Comptable Financier (Alger),"Baraki, Alger, Algérie",SARL OVER THE TOP recrute un Cadre Comptable Financier pour le tenue de comptabilité et analyses des comptes...,14 août 2024,CDD
